CID,SMILES,Estimated Log Kow ,Measured Log Kow  ,Estimated BP (oC),Estimated MP (oC),Estimated VP (mm Hg),Estimated VP (Pa),Estimated Water Sol. (mg/L),HLC (atm-m3/mole); Group Method (Based on Estimated Data),HLC (atm-m3/mole); Bond Method (Based on Estimated Data),Estimated Koc,Estimated Log Koc,BIOWIN1 (Linear Model) Probability ,BIOWIN2 (Non-Linear Model) Probability ,Estimated Atmospheric Oxidation (half-life-days),Indirect Photolysis (Half-Life-days); Measured,Estimated Ozone Reaction (half-life-days),Measured Ozone Reaction (half-life-days),Estimated Hydrolysis (half-life-days),Estimated BCF,Estimated Log BCF,Estimated Volatilization from Model River (half-life-hours),Estimated Volatilization from Model Lake (half-life-hours),STP Biodegradation (%),STP Sludge Adsorption (%),STP Volatilization (%),STP Total Removal (%),AWS_Air,AWS_Water,AWS_Soil,AWS_Sediments,Paws Score-Air,Paws-Score-Water,Paws-Score-Soil,Paws-Score-Sediments,Paws Score (Total),PEQC/aws (half-life-days),PEQC/aws Score,B Score (BCF),B Score (Log Kow),EXPaws Score (BCF),EXPaws Score (Log Kow),EXPEQC/aws Score (BCF),EXPEQC/aws Score (Log Kow),BIOWIN5 (Linear MITI Model) Probability,BIOWIN6 (Non-Linear MITI Model) Probability,BIOWIN3 numerical output ,BIOWIN4 numerical output,Ready biodegradability prediction,STP Total Removal (%) - default,STP Biodegradation (%) - default,STP Adsorption (%) - default,STP Volatilization (%) - default,Subcooled Liquid VP,WATERNT frag Water Sol estimate,KOAWIN LogKoa estimate,KOAWIN LogKoa measured,KOAWIN Log Kaw,AEROWIN Mackay Kp,AEROWIN Octanol/air Kp,AEROWIN Junge-Pankow phi,AEROWIN Mackay phi,AEROWIN Octanol/air phi
61252,S1CCC(C1)=O ,-0.26,,169.33,3.85,1.61,214.6,192000.0,,2.33e-07,9.535,0.979,0.7057,0.7512,0.4469,,0.0,,,3.162,0.5,2541.0,27800.0,0.09,1.76,0.01,1.86,1.0,38.2,60.7,0.0853,83,38200,60700,85,99068,17.0,309091,1897,330,188,33,586,102,0.5852,0.7539,2.9509,3.6781,YES ,1.86,0.09,1.76,0.01,1.47,167000.0,4.761,,-5.021,1.53e-08,1.42e-08,5.53e-07,1.22e-06,1.13e-06
61293,C(C)OC(CC(CCC)O)=O ,1.29,,226.3,6.69,0.0147,1.96,17500.0,1.2e-08,2.64e-08,10.0,1.0,1.0042,0.9974,0.7056,,0.0,,4761.0,3.299,0.518,61800.0,674000.0,0.09,1.83,0.0,1.93,0.223,31.7,68.0,0.0713,19,31700,68000,71,99790,24.6,446970,1979,11699,198,1167,885,5229,0.8882,0.9529,3.1453,3.975,YES ,1.93,0.09,1.83,0.0,0.0136,20501.0,7.257,,-5.967,1.65e-06,4.44e-06,5.98e-05,0.000132,0.000355
61325,CC1C(C(=C(O1)C)OC)=O ,0.62,,214.32,30.34,0.217,28.93,24400.0,,7.81e-06,10.0,1.0,-0.008,0.0018,0.0613,,0.0403,,,3.162,0.5,90.6,1088.0,0.09,1.76,0.44,2.29,0.0882,40.4,59.5,0.0909,5,40400,59500,91,99996,14.8,269697,1897,2501,190,250,512,675,0.4236,0.263,2.8452,3.6009,NO ,2.29,0.09,1.76,0.44,0.242,692000.0,4.116,,-3.496,9.3e-08,3.21e-09,3.36e-06,7.44e-06,2.57e-07
61331,C1=CC=CC(=C1OC(CC2=CC=CC=C2)=O)OC ,3.38,,343.61,101.27,3.38e-05,0.004506,33.99,,3.1e-07,1611.0,3.207,1.1211,0.9997,0.5309,,0.0,,36.65,78.73,1.896,2941.0,32200.0,0.16,10.41,0.02,10.59,0.395,16.8,81.3,1.52,33,58800,284550,5320,348703,48.3,878788,47238,676000,16472,235723,41512,594061,0.549,0.5687,2.693,3.7406,NO ,10.59,0.16,10.41,0.02,0.000187,8.0598,8.277,,-4.897,0.00012,4.65e-05,0.00433,0.00953,0.0037
61337,O1C=CC=C1C(=O)OCC=C ,1.8,,199.7,3.01,0.248,33.06,2172.0,,4.55e-05,122.4,2.088,0.8493,0.9928,0.2616,,0.955,,282.6,7.112,0.852,17.13,290.3,0.09,1.97,2.39,4.45,0.64,26.2,73.0,0.176,51,26200,73000,176,99427,17.1,311364,4267,37857,424,3764,1329,11787,0.6959,0.8107,3.0031,3.8572,YES ,4.45,0.09,1.97,2.39,0.228,3722.2,4.53,,-2.73,9.87e-08,8.32e-09,3.56e-06,7.89e-06,6.65e-07
61386,C(CCCCCCCCCCC)(=O)OCCC(C)C ,7.17,,316.43,44.42,0.00054,0.07199,0.01354,0.0169,0.00926,12000.0,4.08,0.9014,0.9939,0.5645,,0.0,,3319.0,2765.0,3.442,1.735,156.8,0.77,92.43,0.84,94.03,2.19,20.2,73.5,4.16,183,20200,73500,4160,98043,15.8,286364,776500,1000000,76131,98043,222361,286364,0.7948,0.9069,3.04,3.9556,YES ,94.03,0.77,92.43,0.84,0.000812,0.020917,7.592,,-0.422,2.77e-05,9.59e-06,0.001,0.00221,0.000767
61408,C(C)C(C(=O)OCC=C)CC ,3.11,,176.85,-33.4,1.12,149.3,157.3,0.000997,0.000715,110.5,2.043,0.8474,0.9924,0.3413,,0.955,,16000.0,52.34,1.719,2.01,126.7,0.1,5.59,27.82,33.51,2.5,32.9,64.4,0.206,203,32900,64400,206,97709,8.9,161364,31404,622000,3068,60775,5067,100368,0.7081,0.8551,2.9941,3.8513,YES ,33.51,0.1,5.59,27.82,1.02,247.24,4.644,,-1.534,2.21e-08,1.08e-08,7.97e-07,1.76e-06,8.65e-07
61523,C1(=CC=CC=C1)CCCCCO ,3.04,,277.03,37.95,0.000445,0.05933,536.7,2.87e-07,6.75e-07,236.7,2.374,1.0108,0.9848,0.7431,,0.0,,,26.13,1.417,2616.0,28600.0,0.13,5.92,0.02,6.06,1.14,24.1,74.5,0.261,97,24100,74500,261,98958,21.1,383333,15678,608000,1551,60166,6010,233067,0.5677,0.7275,2.9433,3.6766,YES ,6.06,0.13,5.92,0.02,0.000582,349.09,7.599,,-4.559,3.87e-05,9.75e-06,0.00139,0.00308,0.000779
61527,C(C)(=O)C1=C(OC(=C1)C)C ,2.14,,195.13,18.88,0.46,61.33,1273.0,,1.19e-05,74.73,1.873,0.7979,0.8517,0.1945,,0.0,,,3.108,0.492,59.03,742.6,0.1,2.29,0.66,3.04,0.294,26.1,73.4,0.143,23,91350,256900,500,348773,34.4,625000,1865,82823,650,28886,1166,51764,0.5104,0.531,2.7217,3.4891,NO ,3.04,0.1,2.29,0.66,0.419,6874.4,5.453,,-3.313,5.37e-08,6.97e-08,1.94e-06,4.3e-06,5.57e-06
61641,CSCCC(=O)OC ,0.95,,167.21,-33.17,1.79,238.6,13600.0,7.74e-07,2.48e-06,19.41,1.288,0.8578,0.9944,0.8699,,0.0,,742.8,3.162,0.5,878.6,9682.0,0.09,1.79,0.04,1.93,1.79,34.8,63.3,0.0921,153,34800,63300,92,98345,17.3,315152,1897,5348,187,526,598,1685,0.7563,0.8803,3.0428,3.8831,YES ,1.93,0.09,1.79,0.04,1.62,13704.0,4.944,,-3.994,1.39e-08,2.16e-08,5.02e-07,1.11e-06,1.73e-06
61653,CC1=NC(=C(S1)C)C ,2.63,,189.96,19.8,0.593,79.06,530.0,,5.15e-06,337.1,2.528,0.851,0.9495,5.916,,0.0,,,25.44,1.406,129.4,1506.0,0.11,3.41,0.28,3.8,2.12,19.5,78.1,0.367,186,68250,273350,1285,343070,43.3,787879,15264,255948,5237,87808,12026,201656,0.4581,0.444,2.6935,3.4586,NO ,3.8,0.11,3.41,0.28,0.54,1052.6,6.307,,-3.677,4.17e-08,4.98e-07,1.5e-06,3.33e-06,3.98e-05
61659,S(CC1=CC=CO1)CC2=CC=CO2 ,3.07,,275.43,61.18,0.00328,0.4373,110.9,,5.1e-06,9161.0,3.962,0.6551,0.5623,0.04946,,0.0,,,49.58,1.695,161.4,1878.0,0.13,6.19,0.27,6.59,0.117,22.6,71.1,6.19,6,22600,71100,6190,99896,20.3,368939,29748,614000,2972,61336,10975,226529,0.0722,0.0685,2.7699,3.5675,NO ,6.59,0.13,6.19,0.27,0.00712,100.63,6.751,,-3.681,3.16e-06,1.38e-06,0.000114,0.000253,0.000111
61670,CC1=C2C(=CC=C1)N=CC=N2 ,1.66,2.04,265.62,64.26,0.0051,0.6799,1456.0,6.89e-09,3.14e-07,640.4,2.806,0.7336,0.8232,1.997,,0.0,,,10.3,1.013,2240.0,24500.0,0.1,2.19,0.02,2.3,1.82,21.8,75.8,0.527,158,21800,75800,527,98285,23.0,417424,6180,65789,607,6466,2580,27462,0.3658,0.3255,2.8057,3.5712,NO ,2.3,0.1,2.19,0.02,0.0119,5166.5,6.932,,-4.892,1.89e-06,2.1e-06,6.83e-05,0.000151,0.000168
61771,C(C)(CC)C1CCCCC1=O ,2.94,,218.54,1.92,0.212,28.26,222.7,9.52e-05,0.000159,161.9,2.209,0.6809,0.5903,0.4415,,0.0,,,40.64,1.609,8.906,201.3,0.12,4.95,4.51,9.58,1.43,24.3,74.0,0.199,118,24300,74000,199,98617,16.7,303030,24384,522578,2405,51535,7389,158357,0.4619,0.5228,2.8358,3.603,NO ,9.58,0.12,4.95,4.51,0.198,859.36,5.127,,-2.187,1.14e-07,3.29e-08,4.1e-06,9.09e-06,2.63e-06
61809,C(C)OC1=NC=CS1 ,2.02,,190.77,22.94,0.57,75.99,1745.0,,3.01e-07,93.41,1.97,0.818,0.9684,0.4949,,0.0,,,9.994,1.0,2212.0,24200.0,0.1,2.17,0.02,2.28,0.924,26.9,72.1,0.15,77,26900,72100,150,99227,19.8,359091,5996,62828,595,6234,2153,22561,0.5893,0.6918,2.8556,3.7385,YES ,2.28,0.1,2.17,0.02,0.519,5503.1,6.93,,-4.91,4.34e-08,2.09e-06,1.57e-06,3.47e-06,0.000167
61918,C(C)(=O)C1=NC=CN=C1CC ,0.66,,245.73,57.04,0.0167,2.226,20700.0,,7.79e-09,41.01,1.613,0.7375,0.7311,6.203,,0.0,,,3.162,0.5,92100.0,1010000.0,0.09,1.77,0.0,1.87,0.145,23.0,76.8,0.0812,13,23000,76800,81,99894,29.1,528788,1897,2743,190,274,1003,1450,0.3447,0.3054,2.77,3.5403,NO ,1.87,0.09,1.77,0.0,0.0331,263000.0,7.157,,-6.497,6.8e-07,3.52e-06,2.46e-05,5.44e-05,0.000282
61945,N1=C(C=NC=C1)CCS ,0.92,,237.0,46.54,0.0329,4.386,13600.0,9.97e-11,1.52e-07,205.9,2.314,0.7355,0.8313,0.2477,,0.0,,,3.162,0.5,4562.0,49900.0,0.09,1.79,0.01,1.89,0.477,24.9,74.4,0.242,38,24900,74400,242,99580,20.3,369697,1897,4991,189,497,701,1845,0.3134,0.2981,2.8145,3.5769,NO ,1.89,0.09,1.79,0.01,0.0517,20547.0,6.127,,-5.207,4.35e-07,3.29e-07,1.57e-05,3.48e-05,2.63e-05
62087,SC(C)C(C)O ,0.64,,157.73,-46.3,0.874,116.5,32000.0,,2.24e-07,4.566,0.66,0.8557,0.9321,0.1784,,0.0,,,3.162,0.5,2694.0,29500.0,0.09,1.77,0.01,1.88,0.518,42.7,56.7,0.0863,39,42700,56700,86,99526,15.5,282576,1897,2619,189,261,536,740,0.4569,0.5754,3.1245,3.824,NO ,1.88,0.09,1.77,0.01,0.781,61623.0,5.678,,-5.038,2.88e-08,1.17e-07,1.04e-06,2.3e-06,9.36e-06
62089,CC(CCC(=O)O)CCCC ,3.45,,252.04,48.57,0.0146,1.947,195.5,3.97e-06,3.98e-06,46.44,1.667,0.8533,0.9626,1.065,,0.0,,,3.162,0.5,186.8,2143.0,0.17,11.76,0.2,12.13,3.29,31.0,65.6,0.105,282,20150,42640,68,63140,11.4,206818,1897,690000,120,43567,392,142705,0.6198,0.7647,3.5124,4.2741,YES ,12.13,0.17,11.76,0.2,0.024,593.15,7.239,,-3.789,9.37e-07,4.26e-06,3.39e-05,7.5e-05,0.00034
62144,C1=COC(=C1)CSC=O ,1.35,,223.35,16.56,0.11,14.67,5723.0,,6.88e-06,20.2,1.305,0.6799,0.7291,0.0982,,0.0,,,3.633,0.56,102.7,1220.0,0.09,1.84,0.39,2.32,0.316,36.1,63.5,0.0965,21,36100,63500,97,99718,15.9,288636,2180,13432,217,1339,629,3877,0.2581,0.207,2.885,3.6426,NO ,2.32,0.09,1.84,0.39,0.103,4833.3,4.901,,-3.551,2.18e-07,1.95e-08,7.89e-06,1.75e-05,1.56e-06
62332,C(C1=CC=CC=C1O)(=O)OCCC2=CC=CC=C2 ,4.8,,366.47,123.37,1.39e-06,0.0001853,7.856,6.29e-11,4.87e-07,6005.0,3.779,1.105,0.999,0.5706,,0.0,,1723.0,685.0,2.836,1873.0,20600.0,0.63,69.74,0.01,70.37,0.947,22.1,73.0,4.02,79,22100,73000,4020,99199,21.6,392424,411000,960000,40771,95231,161286,376727,0.467,0.4631,2.8075,3.7032,NO ,70.37,0.63,69.74,0.01,1.32e-05,7.2185,9.501,,-4.701,0.0017,0.000778,0.058,0.12,0.0586
62351,CSCCCN=C=S ,2.37,,218.04,8.05,0.145,19.33,739.9,,5.84e-05,117.5,2.07,0.6774,0.7146,0.7488,,0.0,,,16.98,1.23,13.4,248.0,0.1,2.62,2.99,5.7,2.05,25.9,71.9,0.168,174,25900,71900,168,98142,17.0,309848,10188,140654,1000,13804,3157,43581,0.4227,0.3971,2.8738,3.6353,NO ,5.7,0.1,2.62,2.99,0.135,570.65,4.992,,-2.622,1.67e-07,2.41e-08,6.02e-06,1.33e-05,1.93e-06
62374,CC1(CC(C=C(C1=O)C)=O)C ,1.88,,253.82,56.04,0.0185,2.466,1839.0,,1.35e-08,162.8,2.212,0.5048,0.1441,0.1439,,1.007,,,8.084,0.908,53500.0,584000.0,0.09,2.05,0.0,2.15,0.0621,18.2,81.6,0.179,5,63700,285600,627,349931,52.9,962121,4850,45515,1697,15927,4667,43791,0.5896,0.6274,2.6058,3.4303,NO ,2.15,0.09,2.05,0.0,0.0358,1124.9,8.138,,-6.258,6.28e-07,3.37e-05,2.27e-05,5.03e-05,0.00269
62375,COC(C1=CC=CC=C1)OC ,1.44,,200.31,-11.39,0.355,47.33,4377.0,,4.08e-06,45.87,1.662,0.1085,0.0146,0.7991,,0.0,,,4.137,0.617,178.3,2048.0,0.09,1.86,0.23,2.18,1.76,30.9,67.2,0.115,150,30900,67200,115,98365,17.6,320455,2482,16525,244,1626,795,5296,0.2945,0.235,2.8675,3.6136,NO ,2.18,0.09,1.86,0.23,0.325,6996.8,5.218,,-3.778,6.92e-08,4.06e-08,2.5e-06,5.54e-06,3.24e-06
62378,C(C1=C(CCC1=O)C)CCCC ,3.77,,250.68,41.22,0.0298,3.973,38.82,8.29e-05,0.000138,295.1,2.47,0.7837,0.8848,0.09967,,0.02385,,,142.1,2.153,10.42,221.8,0.24,20.16,3.3,23.69,0.0654,23.2,76.4,0.299,4,23200,76400,299,99903,17.3,315152,85260,754000,8518,75327,26870,237624,0.5732,0.6876,3.1076,3.8547,YES ,23.69,0.24,20.16,3.3,0.0417,25.054,6.019,,-2.249,5.4e-07,2.56e-07,1.95e-05,4.32e-05,2.05e-05
62444,CCCC(=O)SC ,1.21,,160.71,-31.27,2.43,324.0,9515.0,,0.00011,5.243,0.72,0.6913,0.7909,1.717,,0.0,,,2.901,0.463,6.896,166.4,0.09,1.74,5.31,7.14,8.11,43.6,48.2,0.0895,703,43600,48200,90,92592,10.6,193182,1741,9731,161,901,336,1880,0.4602,0.5028,2.938,3.6772,NO ,7.14,0.09,1.74,5.31,2.21,15640.0,3.557,,-2.347,1.02e-08,8.85e-10,3.68e-07,8.14e-07,7.08e-08
62465,CCC1=CC(=C(C=C1)O)OC ,2.38,,248.39,51.22,0.0248,3.306,693.8,8.88e-07,4.86e-08,374.7,2.574,0.9775,0.9899,0.2753,,0.0,,,17.17,1.235,814.6,8990.0,0.1,2.7,0.05,2.85,0.611,25.2,73.7,0.393,49,25200,73700,393,99342,19.4,352273,10302,143930,1023,14298,3629,50703,0.4886,0.5542,2.7863,3.6764,NO ,2.85,0.1,2.7,0.05,0.0235,3022.5,8.082,,-5.702,9.57e-07,2.96e-05,3.46e-05,7.66e-05,0.00237
62572,C(C)OC(CC(C)O)=O ,0.31,,187.13,-16.01,0.18,24.0,159000.0,6e-09,1.5e-08,1.431,0.156,1.0175,0.9982,1.002,,0.0,,786.5,3.162,0.5,112000.0,1220000.0,0.09,1.76,0.0,1.86,0.132,37.7,62.1,0.0712,11,37700,62100,71,99883,23.8,432576,1897,1225,189,122,821,530,0.8728,0.9507,3.2073,4.0155,YES ,1.86,0.09,1.76,0.0,0.161,201000.0,6.522,,-6.212,1.4e-07,8.17e-07,5.05e-06,1.12e-05,6.53e-05
62580,C(C(C)C)(=O)OCC2=CC1=C(OCO1)C=C2 ,3.05,,305.97,78.65,0.000439,0.05853,82.97,6.14e-05,2.9e-08,87.15,1.94,1.0797,0.9998,0.2104,,0.0,,548.0,47.9,1.68,15.74,296.7,0.12,5.9,3.01,9.04,0.459,24.0,75.4,0.146,35,84000,263900,511,348447,30.0,544697,28740,610000,10014,212552,15655,332265,0.724,0.8338,2.732,3.9103,NO ,9.04,0.12,5.9,3.01,0.00142,14.315,8.976,,-5.926,1.58e-05,0.000232,0.000572,0.00127,0.0182
62725,C(C(C)C)C1=NC=CS1 ,2.94,,198.0,20.85,0.399,53.2,255.2,,9.89e-06,683.9,2.835,0.735,0.8292,1.456,,0.0,,,40.45,1.607,71.57,880.4,0.12,5.08,0.53,5.73,2.41,24.2,72.8,0.617,208,24200,72800,617,97825,19.6,356061,24270,522578,2374,51121,8642,186070,0.2029,0.1829,2.8122,3.5754,NO ,5.73,0.12,5.08,0.53,0.364,539.0,6.333,,-3.393,6.18e-08,5.28e-07,2.23e-06,4.95e-06,4.23e-05
62835,CC1=C(C(OC1C)=O)O ,-0.44,,288.57,42.97,0.000192,0.0256,223000.0,,0.000124,1.367,0.136,1.0195,0.9983,0.2613,,0.155,,,3.162,0.5,6.5,165.8,0.09,1.67,5.9,7.65,0.916,51.8,47.2,0.0977,73,51800,47200,98,99170,8.7,158333,1897,218,188,22,300,34,0.8491,0.899,3.2162,4.0213,YES ,7.65,0.09,1.67,5.9,0.00028,10773.0,1.855,,-2.295,8.04e-05,1.76e-11,0.00289,0.00639,1.41e-09
62900,C(C1C(CC(O1)=O)C)CCC ,2.0,,260.63,6.29,0.0154,2.053,1387.0,0.000203,0.000423,107.8,2.033,0.9558,0.9988,1.135,,0.0,,,9.735,0.988,4.88,158.0,0.09,2.0,8.89,10.98,5.32,26.8,67.8,0.141,457,17420,44070,92,62039,10.0,181818,5841,60000,362,3722,1062,10909,0.7848,0.854,3.2925,4.1204,YES ,10.98,0.09,2.0,8.89,0.0154,238.37,3.762,,-1.762,1.46e-06,1.42e-09,5.28e-05,0.000117,1.14e-07
62902,CC(C(=O)OCC)CCC ,2.76,,157.09,-43.92,2.88,384.0,356.7,0.000974,0.000723,57.91,1.763,0.8531,0.9936,2.019,,0.0,,5759.0,30.54,1.485,1.947,121.9,0.09,3.28,28.18,31.55,14.7,36.3,48.9,0.153,1277,36300,48900,153,86630,8.2,148485,18324,345264,1587,29910,2721,51266,0.7256,0.8865,3.0207,3.8686,YES ,31.55,0.09,3.28,28.18,2.63,759.6,4.289,,-1.529,8.56e-09,4.78e-09,3.09e-07,6.84e-07,3.82e-07
69963,C(CCCC=C)O ,1.69,,157.47,-39.22,0.887,118.3,13700.0,6.14e-06,1.31e-05,11.53,1.062,0.8586,0.9373,0.3106,,0.955,,,6.025,0.78,45.75,583.0,0.09,1.94,0.73,2.76,0.818,39.4,59.7,0.0912,66,39400,59700,91,99257,14.8,268939,3615,29387,359,2917,972,7903,0.7915,0.92,3.1378,3.8327,YES ,2.76,0.09,1.94,0.73,0.792,7237.7,4.961,,-3.271,2.84e-08,2.24e-08,1.03e-06,2.27e-06,1.8e-06
78925,CSCCO ,-0.05,,156.19,-38.42,0.954,127.2,137000.0,2.28e-08,3.81e-08,3.471,0.54,0.8624,0.9436,0.6734,,0.0,,,3.162,0.5,24700.0,269000.0,0.09,1.76,0.0,1.85,0.403,37.1,62.4,0.0733,34,37100,62400,73,99607,22.0,399242,1897,535,189,53,757,213,0.6984,0.8517,3.1555,3.8442,YES ,1.85,0.09,1.76,0.0,0.853,209000.0,5.758,,-5.808,2.64e-08,1.41e-07,9.53e-07,2.11e-06,1.12e-05
82227,CC1=CCC2CC1C2(C)C ,4.27,4.83,157.25,-13.62,4.02,536.0,4.071,,0.107,1020.0,3.009,0.4988,0.3432,0.1179,0.1992,0.02665,0.1364,,394.9,2.596,1.193,110.9,0.11,31.63,67.61,99.34,2.53,84.6,8.11,4.79,615,296100,28385,16765,341865,3.8,70000,236940,966000,81001,330241,16586,67620,0.4462,0.3302,2.686,3.4977,NO ,99.34,0.11,31.63,67.61,4.75,3.4834,3.36,,1.08,4.74e-09,5.62e-10,1.71e-07,3.79e-07,4.5e-08
85522,CSCC(=O)OC ,0.46,,145.41,-45.17,4.96,661.3,40600.0,,1.87e-06,10.65,1.027,0.8645,0.9954,2.042,,0.0,,47.75,3.162,0.5,344.3,3848.0,0.09,1.76,0.11,1.96,3.47,38.1,58.3,0.0868,1331,38100,58300,87,97818,16.6,301515,1897,1730,186,169,572,522,0.7486,0.8777,3.0738,3.9033,YES ,1.96,0.09,1.76,0.11,4.55,42260.0,4.577,,-4.117,4.95e-09,9.27e-09,1.79e-07,3.96e-07,7.41e-07
88454,C(CC)(=O)OCCCCCC ,3.32,,190.83,-20.94,0.592,78.93,101.9,0.000888,0.00096,117.5,2.07,0.9548,0.9988,1.363,,0.0,,926.8,72.0,1.857,2.113,128.5,0.12,8.15,25.01,33.28,9.78,29.2,60.9,0.162,3638,18980,39585,105,62308,7.8,142424,43200,664000,2692,41373,6153,94570,0.8824,0.9534,3.288,4.1175,YES ,33.28,0.12,8.15,25.01,0.539,144.42,4.726,,-1.406,4.17e-08,1.31e-08,1.51e-06,3.34e-06,1.04e-06
89440,C(C)(=O)C2=C(C=C1C(C(CC(C1=C2)(C)C)C)(C)C)C ,6.35,5.7,331.88,106.87,0.000189,0.0252,0.2879,1.09e-05,4.23e-05,8678.0,3.938,0.3182,0.0183,0.6047,,0.0,,,696.2,2.843,8.411,226.6,0.75,89.37,0.27,90.4,0.494,8.78,85.1,5.63,165,52680,510600,33780,597225,66.7,1000000,417720,1000000,249473,597225,417720,1000000,0.2889,0.0737,2.1066,3.0773,NO ,90.4,0.75,89.37,0.27,0.000354,0.36931,7.945,,-2.245,6.36e-05,2.16e-05,0.00229,0.00506,0.00173
92979,CC12CCC3C(C1CC=C2)CCC4=CC(=O)CCC34C ,4.59,,355.2,122.98,2.22e-05,0.00296,2.175,,8.49e-05,27400.0,4.438,0.2578,0.0087,0.06859,,0.5037,,,497.9,2.697,13.03,280.1,0.55,59.51,1.55,61.6,0.0474,8.08,75.1,16.8,6,48480,450600,100800,599887,76.7,1000000,298740,918000,179210,550696,298740,918000,0.3554,0.0947,2.1549,3.1285,NO ,61.6,0.55,59.51,1.55,0.00021,1.5907,7.05,,-2.46,0.000107,2.75e-06,0.00386,0.0085,0.00022
93375,CC1C=C(CCC1C=O)C ,2.85,,200.48,-10.07,0.352,46.93,311.5,,0.000226,29.12,1.464,0.9664,0.9997,0.08671,,0.02665,,,35.47,1.55,4.245,144.9,0.11,4.22,9.45,13.78,0.17,37.0,62.7,0.113,27,37000,62700,113,99840,10.1,184091,21282,424767,2125,42409,3918,78196,0.7837,0.8265,2.9161,3.845,YES ,13.78,0.11,4.22,9.45,0.322,2544.4,4.884,,-2.034,6.99e-08,1.88e-08,2.52e-06,5.59e-06,1.5e-06
98330,OC1CSC(CS1)O ,-1.29,,285.18,74.98,6.6e-05,0.008799,930000.0,,6.56e-12,1.0,0.0,0.9925,0.9562,0.07042,,0.0,,,3.162,0.5,110000000.0,1200000000.0,0.09,1.75,0.0,1.85,0.000153,37.7,62.2,0.0706,0,37700,62200,71,99971,24.5,444697,1897,31,190,3,844,14,0.6459,0.5875,3.1827,3.887,YES ,1.85,0.09,1.75,0.0,0.000196,1000000.0,8.282,,-9.572,0.000115,4.7e-05,0.00413,0.0091,0.00375
101010,CC1SC(CCO1)CCC ,2.35,,209.28,11.23,0.226,30.13,672.1,,1.67e-05,175.3,2.244,0.3239,0.0632,0.08176,,0.0,,,16.49,1.217,45.68,604.4,0.1,2.62,0.91,3.63,0.227,26.2,73.4,0.226,35,26200,73400,226,99861,18.1,329545,9894,134323,988,13414,3261,44266,0.4008,0.2504,2.8363,3.6068,NO ,3.63,0.1,2.62,0.91,0.208,1563.6,5.516,,-3.166,1.08e-07,8.05e-08,3.91e-06,8.65e-06,6.44e-06
101604,CC(=O)OCCC1=CCC2CC1C2(C)C ,4.3,,259.16,54.2,0.00892,1.189,8.429,,0.000602,911.4,2.96,0.6386,0.9174,0.1142,,0.02665,,664.1,319.4,2.504,2.876,152.4,0.38,41.88,11.48,53.75,0.0568,12.7,86.6,0.641,11,44450,303100,2244,349804,31.5,572727,191640,860000,67036,300832,109757,492545,0.6744,0.6265,2.6669,3.6227,NO ,53.75,0.38,41.88,11.48,0.0166,12.038,5.909,,-1.609,1.36e-06,1.99e-07,4.9e-05,0.000108,1.59e-05
104721,CC1=CN=C(C(=N1)C)C(=O)C ,0.72,,245.73,60.17,0.0156,2.08,18600.0,,6.47e-09,34.49,1.538,0.7922,0.8288,5.933,,0.0,,,3.162,0.5,111000.0,1210000.0,0.09,1.78,0.0,1.87,0.0627,24.6,75.2,0.0873,25,86100,263200,306,349631,56.7,1000000,1897,3149,663,1101,1897,3149,0.4746,0.4446,2.6951,3.4718,NO ,1.87,0.09,1.78,0.0,0.0331,271000.0,7.298,,-6.578,6.8e-07,4.88e-06,2.46e-05,5.44e-05,0.00039
106997,C(C1(C(C2CCC1(C2)C)(C)C)O)C ,3.8,,229.08,42.13,0.00801,1.068,99.48,3.79e-06,1.18e-05,220.5,2.343,0.109,0.0086,1.301,,0.0,,,148.5,2.172,210.0,2404.0,0.25,21.56,0.17,21.98,0.753,18.1,80.9,0.247,279,108600,485400,1482,595761,59.2,1000000,89100,760000,53082,452778,89100,760000,0.4953,0.3886,2.1599,3.1244,NO ,21.98,0.25,21.56,0.17,0.0115,108.66,7.117,,-3.317,1.96e-06,3.21e-06,7.07e-05,0.000156,0.000257
145742,N1CCCC1C(=O)O ,-2.15,-2.54,414.14,294.42,4.68e-08,6.24e-06,131000.0,,1.92e-09,3.41,0.533,0.9193,0.958,0.1291,,0.0,,,3.162,0.5,327000.0,3570000.0,0.09,1.75,0.0,1.85,0.0612,32.5,67.4,0.0604,12,21125,43810,39,64986,15.6,283333,1897,2,123,0,538,0,0.6557,0.653,3.3338,4.1105,YES ,1.85,0.09,1.75,0.0,3.76e-06,181000.0,4.565,,-7.105,0.00598,9.02e-09,0.178,0.324,7.21e-07
159055,CC1(C2CCC1(C(=O)C2)C)C ,3.04,2.38,203.89,28.07,0.0107,1.427,339.1,,7e-05,117.1,2.069,0.314,0.0451,1.083,,0.0,,,29.84,1.475,10.18,214.5,0.11,3.79,3.96,7.85,1.82,21.6,76.4,0.163,661,75600,267400,571,344232,31.0,563636,17904,143930,6163,49545,10091,81124,0.5851,0.5988,2.416,3.299,NO ,7.85,0.11,3.79,3.96,2.24,706.1,5.22,,-2.48,1e-08,4.07e-08,3.63e-07,8.04e-07,3.26e-06
